_id,correct_letters,enemies_killed,final_health,incorrect_letters,level,reason_end,time_remaining,total_bullets
6340e37539bf83a8a187a23c,3,0,100,1,1,SUCCESS,106,1
63422add7349da35faf6eb33,0,0,0,0,1,TIME_UP,0,0
63422de09ad907cd667406a5,3,0,90,8,1,SUCCESS,82,0
63423ad0b710d4e33ce9fc57,0,0,90,0,1,TIME_UP,0,0
6344b7979d17bf045bfc2539,3,0,100,1,1,SUCCESS,78,0
6344b7987d05e5bb5684480b,0,0,100,1,1,SUCCESS,78,0
6344bb0cad13a1c2fba6d7d7,3,0,100,5,1,SUCCESS,105,0
6344c28ceae925cc402f0348,2,0,0,1,1,KILLED,107,0
6344c7c6a5493f5e25dae4bd,3,5,60,6,1,SUCCESS,94,6
6344caee9d17bf045bfef3e7,3,1,50,5,1,SUCCESS,105,2
6344cda8eae925cc4030b435,0,0,90,1,1,SUCCESS,80,0
6344cda88ff5b1dcdd17c7cc,3,6,90,8,1,SUCCESS,80,8
6344ce76eae925cc4030d460,1,0,0,4,1,KILLED,66,0
6344cee7eae925cc4030e4d1,0,0,0,0,1,TIME_UP,0,0
6344cf89eda7f3b3a5448d63,3,7,20,7,1,SUCCESS,63,27
6344cfe839bf83a8a10bd813,0,0,0,0,1,TIME_UP,0,0
6344d06a06937275fdfb158a,3,0,90,0,1,SUCCESS,108,0
6344d0d806937275fdfb2859,0,0,0,0,1,TIME_UP,0,0
6344d167eda7f3b3a544d70a,3,1,90,7,1,SUCCESS,91,1
6344d1aaeae925cc40314fd5,3,3,80,7,1,SUCCESS,87,3
6344d23206937275fdfb62ff,3,0,90,6,1,SUCCESS,81,0
6344d2764d5e57873dcd6bee,3,0,70,6,1,SUCCESS,77,0
6344d276ad13a1c2fbaa6555,0,0,70,1,1,SUCCESS,77,0
6344d278ad13a1c2fbaa6613,0,0,70,1,1,SUCCESS,75,0
